time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
2020-01-03 09:30:00-05:00,48.03,49.39,47.54,48.6,46.60801700382002,45.45725906521032,40.45266614966632,32.7862189783115,73362157,1.245125638499597,-8846638438,-8846638438,-8920000595,-8920000595,-9232929766.54,123651632.97593212,123651632.97593212,115638612.7567162,,
2020-01-06 09:30:00-05:00,48.02,48.86,47.86,48.39,47.00401322519335,45.87622205589456,40.776638959884025,32.94148048101487,48176286,0.0,-8798462152,-8798462152,-8846638438,-8846638438,-9215725702.3,109063389.54337884,109063389.54337884,114699295.15481086,,
2020-01-07 09:30:00-05:00,49.35,49.39,48.04,48.25,47.28089917515038,46.21533319076676,41.08167410437856,33.093804058318206,59935556,0.4689876334776339,-8798462152,-8798462152,-8858397708,-8858397708,-9200289328.72,88674843.61039448,88674843.61039448,110981516.36275138,,
2020-01-08 09:30:00-05:00,47.85,48.3,47.14,47.83,47.40292158067252,46.44599987780008,41.35711597766923,33.24043287365832,53868957,0.1205330313943112,-8858397708,-8858397708,-8912266665,-8912266665,-9186837711.02,65393587.61514568,65393587.61514568,104468955.11309342,,
2020-01-09 09:30:00-05:00,48.94,49.96,48.39,48.97,47.75116122941196,46.80657132382864,41.66784593776436,33.39694597939307,76649637,1.3848462913307509,-8835617028,-8835617028,-8912266665,-8912266665,-9172877572.76,57676114.74749184,57676114.74749184,97784263.6322932,,
2020-01-10 09:30:00-05:00,49.26,49.29,48.0,48.165,47.84312540065374,47.00063256328169,41.93303589948827,33.543891790543384,44215594,0.0,-8835617028,-8835617028,-8879832622,-8879832622,-9158227744.86,45248053.61384773,45248053.61384773,90279090.77251528,,
2020-01-13 09:30:00-05:00,48.66,48.86,48.24,48.745,48.04354197828624,47.24982791138431,42.21107525052956,33.69514659859768,34474728,0.0,-8845357894,-8845357894,-8879832622,-8879832622,-9144452997.78,40073418.03220368,40073418.03220368,83106851.80961362,,
2020-01-14 09:30:00-05:00,48.64,49.035,47.91,48.21,48.08053264977819,47.38699535261512,42.45592932193652,33.83957300060168,38694180,0.0,-8845357894,-8845357894,-8884052074,-8884052074,-9132809766.76,30523966.85261249,30523966.85261249,75595011.1014706,,
2020-01-15 09:30:00-05:00,48.23,49.08,48.12,48.545,48.18374761649415,47.55242458795582,42.704462819000334,33.98589565731211,40199943,0.0,-8843852131,-8843852131,-8884052074,-8884052074,-9121647309.06,28433964.25385952,28433964.25385952,68857718.69466902,,
2020-01-16 09:30:00-05:00,49.17,50.31,48.99,49.77,48.53624814616212,47.86922107539071,42.9928520916942,34.142951421915974,58898926,0.3728077211406242,-8784953205,-8784953205,-8843852131,-8843852131,-9110973748.5,34115963.52233887,34115963.52233887,63894610.81290758,,
2020-01-17 09:30:00-05:00,50.2,51.05,49.9,50.93,49.06819300257053,48.30647520747775,43.31681731244137,34.309986731150644,57722501,0.2953345664077397,-8727230704,-8727230704,-8784953205,-8784953205,-9097448765.16,45024049.73192406,45024049.73192406,61198816.37276708,,
2020-01-21 09:30:00-05:00,50.96,51.81,50.7,51.05,49.50859455755486,48.69840732069521,43.63245742213764,34.4765540273581,49094965,0.0,-8678135739,-8678135739,-8727230704,-8727230704,-9081908380.14,58274074.7845211,58274074.7845211,60780996.14587479,,
2020-01-22 09:30:00-05:00,51.63,51.875,51.195,51.43,49.93557354476489,49.08863484631018,43.95072446613202,34.645245032061005,40772219,0.0,-8678135739,-8678135739,-8718907958,-8718907958,-9066096435.94,71819453.07858944,71819453.07858944,62357918.56483403,,
2020-01-23 09:30:00-05:00,51.34,51.745,50.74,51.71,50.32989053481714,49.46311558255158,44.26742958996337,34.81504358895592,40135442,0.0,-8678772516,-8678772516,-8718907958,-8718907958,-9050269707.5,85216405.81018066,85216405.81018066,65623416.74274069,,
2020-01-24 09:30:00-05:00,52.2803,52.81,49.47,50.35,50.33435930485778,49.58981335647278,44.51569776996487,34.969620269662826,80004909,1.5325926864084554,-8678772516,-8678772516,-8758777425,-8758777425,-9036914522.52,82461759.97776699,82461759.97776699,68028894.34774445,,
2020-01-27 09:30:00-05:00,48.45,49.79,47.9,49.26,50.09561279266716,49.54269716269096,44.70934275894589,35.11181310280051,48878578,0.0,-8709898847,-8709898847,-8758777425,-8758777425,-9023755056.44,72429737.32903576,72429737.32903576,68657586.20221464,,
2020-01-28 09:30:00-05:00,50.03,50.85,49.48,50.53,50.19214328318557,49.68374042516368,44.94692060551953,35.26522789779752,62343844,0.5167077053833194,-8647555003,-8647555003,-8709898847,-8709898847,-9010732275.34,72059726.33843708,72059726.33843708,69143606.221675,,
2020-01-29 09:30:00-05:00,47.84,48.07,46.1,47.51,49.596111442477664,49.373206078711725,45.05153609100853,35.38706642617765,112559197,3.079562210685735,-8647555003,-8647555003,-8760114200,-8760114200,-9001279417.12,55561849.74228764,55561849.74228764,67203355.29604822,,
2020-01-30 09:30:00-05:00,46.49,48.81,46.13,48.78,49.4147533441493,49.28846235318148,45.20371829137553,35.520329446812696,70460163,0.8309186630155577,-8689654037,-8689654037,-8760114200,-8760114200,-8989156938.32,52026567.497691154,52026567.497691154,65035242.75342578,,
2020-01-31 09:30:00-05:00,48.4,48.58,46.79,47.0,48.8781414898939,48.96153915986984,45.27703591213572,35.63455502445635,60322431,0.2896020733059459,-8689654037,-8689654037,-8749976468,-8749976468,-8979567563.48,40554703.9106493,40554703.9106493,61538022.91874343,,
2020-02-03 09:30:00-05:00,46.4,48.1,46.23,48.02,48.68744338102859,48.82703356560272,45.388993630007725,35.757793282919465,47076956,0.0,-8702899512,-8702899512,-8749976468,-8749976468,-8970928654.22,37805820.77010155,37805820.77010155,58147708.32608031,,
2020-02-04 09:30:00-05:00,49.21,49.75,48.61,49.45,48.85690040746668,48.91602877051662,45.55474899204823,35.89403414577599,46302078,0.0,-8656597434,-8656597434,-8702899512,-8702899512,-8962963069.76,41178482.91779232,41178482.91779232,55723533.26775345,,
2020-02-05 09:30:00-05:00,50.29,50.42,49.31,49.84,49.0753669835852,49.04802466044281,45.72965719645442,36.03279997517125,42737104,0.0,-8656597434,-8656597434,-8699334538,-8699334538,-8954090840.28,48343247.93297291,48343247.93297291,54669206.79135623,,
2020-02-06 09:30:00-05:00,48.8,49.39,47.63,49.32,49.12972987612182,49.08687828037955,45.87620180068077,36.165010920691934,48670617,0.0,-8650663921,-8650663921,-8699334538,-8699334538,-8943106560.8,46041521.00566673,46041521.00566673,53436680.250543445,,
2020-02-07 09:30:00-05:00,48.91,50.665,48.635,49.73,49.26312323698364,49.1787528117539,46.033499686367264,36.29998593640644,53107582,0.0,-8597556339,-8597556339,-8650663921,-8650663921,-8931977717.76,50457628.47109318,50457628.47109318,53011101.42490769,,
2020-02-10 09:30:00-05:00,49.47,52.3,49.35,52.26,49.92909585098728,49.61893098150335,46.28764255631146,36.45879204649195,60971719,0.3137892585857615,-8536584620,-8536584620,-8597556339,-8597556339,-8918754157.42,60567170.01288796,60567170.01288796,54090539.79461916,,
2020-02-11 09:30:00-05:00,53.22,54.48,52.91,53.8,50.7892967729901,50.216226555574295,46.594269390747726,36.63134137936268,74719054,1.0785430551917856,-8461865566,-8461865566,-8536584620,-8536584620,-8903361540.16,76303344.45631981,76303344.45631981,57263797.603433535,,
2020-02-12 09:30:00-05:00,54.53,54.85,53.53,53.89,51.478341934547856,50.7410513333494,46.89205431357435,36.80306932583668,45994933,0.0,-8461865566,-8461865566,-8507860499,-8507860499,-8889241020.2,91928189.41720486,91928189.41720486,62215853.57682943,,
2020-02-13 09:30:00-05:00,53.43,55.03,53.34,54.53,52.156488171315,51.282329714299486,47.20380719873458,36.97945669572886,51640035,0.0,-8456220464,-8456220464,-8507860499,-8507860499,-8873328845.98,107899939.14879608,107899939.14879608,68742151.51568182,,
2020-02-14 09:30:00-05:00,55.19,55.4,54.56,55.31,52.857268577689446,51.85771118368528,47.53467221103113,37.161850161443,52365370,0.0,-8403855094,-8403855094,-8456220464,-8456220464,-8857429188.38,123889559.48125936,123889559.48125936,76620352.65362146,,
2020-02-18 09:30:00-05:00,54.94,58.13,54.84,56.89,53.75343111598068,52.57660958601595,47.91652232486659,37.3581501598366,70346387,0.9344224729693248,-8333508707,-8333508707,-8403855094,-8403855094,-8841010046.94,141929936.60560226,141929936.60560226,85950293.21819015,,
2020-02-19 09:30:00-05:00,57.99,59.27,57.51,58.9,54.8971130902072,53.47995107372795,48.36482753609653,37.57249692441534,58597294,0.2532347547310289,-8274911413,-8274911413,-8333508707,-8333508707,-8822704740.76,159513081.52977085,159513081.52977085,96459262.9769874,,
2020-02-20 09:30:00-05:00,58.44,59.02,56.15,57.27,55.42442129238338,54.02138663462396,48.72830396319463,37.7684919798938,74203373,1.123376140820226,-8274911413,-8274911413,-8349114786,-8349114786,-8805260494.5,158979244.48565292,158979244.48565292,105390688.90679675,,
2020-02-21 09:30:00-05:00,56.71,56.8,52.89,53.28,54.94788322740929,53.91547425824911,48.91408747490097,37.92283534327794,88553374,1.862091329572629,-8349114786,-8349114786,-8437668160,-8437668160,-8789026607.9,143761861.21232414,143761861.21232414,110872284.95044352,,
